stops_name,location
Explorer Tanah Abang,CJ
FX Sudirman,CJ
Farmasi RP Soeroso,CJ
Fatmawati 1,SJ
Fatmawati 2,SJ
Flyover Bintaro,SJ
Flyover HBR Motik 1,NJ
Flyover HBR Motik 2,CJ
Flyover Jatinegara,EJ
Flyover Jatinegara 1,EJ
Flyover Jatinegara 2,EJ
Flyover Jatinegara Atas,EJ
Flyover Kampung Melayu,EJ
Flyover Karet 2,SJ
Flyover Klender,EJ
Flyover Klender 2,EJ
Flyover Ps. Klender 1,EJ
Flyover Ps. Klender 2,EJ
Flyover Pulo Gebang 1,EJ
Flyover Pulo Gebang 2,EJ
Flyover Radin Inten,EJ
Flyover Radin Inten 1,EJ
Flyover Radin Inten 2,EJ
Flyover Raya Bogor,EJ
Flyover Raya Bogor 1,EJ
Flyover Setiabudi,CJ
Flyover Slipi Kemanggisan,WJ
Flyover Tj. Barat,SJ
Food Street,NJ
Formindo Prima Agung,WJ
Fresh Market PIK,NJ
GBI Sungai Yordan,WJ
GBK Pintu 7,CJ
GKJ Tj. Priok,NJ
GOR Ciracas,EJ
GOR Pademangan,NJ
GOR Pondok Bambu,EJ
GOR Popki Cibubur,EJ
GOR Sumantri,SJ
GOR Sumantri 2,SJ
GP Mall 1,B
GP Mall 2,B
GPIB Bukit Moria,SJ
Gading Griya Lestari,NJ
Gading Harmony,NJ
Gading Nirwana,NJ
Gading Orchard,NJ
Gading Serpong 1,ST
Galeri Niaga Mediterania 1,NJ
Galeri Niaga Mediterania 2,NJ
Galur,CJ
Galur 2,CJ
Gama Tower,SJ
Gambir 1,CJ
Gambir 2,CJ
Gambir 3,CJ
Gandaria City,SJ
Garasi Parna Raya,NJ
Gardu Induk Plumpang,NJ
Gardu PLN Gotong Royong,EJ
Garuda Taman Mini,EJ
Garuda Taman Mini 1,EJ
Garuda Taman Mini 2,EJ
Gatot Subroto Jamsostek Arah Barat,SJ
Gatot Subroto Jamsostek Arah Timur,SJ
Gatot Subroto LIPI 1,SJ
Gatot Subroto LIPI Arah Barat,SJ
Gatot Subroto LIPI Arah Timur,SJ
Gebu Minang,SJ
Gedong Panjang,WJ
Gedong Panjang 2,WJ
Gedung ATC,WJ
Gedung Granadi,SJ
Gedung Pertamina,SJ
Gedung Pompa Cideng Siantar,CJ
Gedung Pramuka,NJ
Gedung Senam,EJ
Gedung Wanita,CJ
Gelanggang Remaja,EJ
Gelanggang Remaja Ciracas,EJ
Gelanggang Remaja Pasar Minggu,SJ
Gelanggang TB Simatupang,SJ
Gelora Bung Karno,CJ
Gelora Bung Karno 1,SJ
Gelora Bung Karno 2,CJ
Gempol,EJ
Gempol Baru 1,EJ
Gempol Baru 2,EJ
Gerbang Tol Bambu Apus 2,EJ
Gerbang Tol Brigif,D
Gerbang Tol Joglo 1,WJ
Gerbang Tol Meruya Selatan 1,WJ
Gerbang Tol Pondok Gede,B
Gerbang Tol Tj. Duren,WJ
Gerbang Tol Veteran,SJ
Gereja HKBP Duren Sawit,EJ
Gereja Jemaat Kiwi,EJ
Gereja Katholik Salib Suci,NJ
Gereja Oikumene,EJ
Gereja Protestan Tugu,NJ
Gereja Santa Anna 1,EJ
Gereja Santa Anna 2,EJ
Gereja Tiberias Kelapa Gading,NJ
Gg. Ahmad Squadron,EJ
Gg. Aim 1,EJ
Gg. Aim 2,EJ
Gg. Al Mawaddah Tengah,EJ
Gg. Ali,EJ
Gg. Ampera BMW Astra,SJ
Gg. Arba Johar Baru,CJ
Gg. Ayama,EJ
Gg. Balai Rakyat Balekambang,EJ
Gg. Bambu Sukapura,NJ
Gg. Barokah Lingkar Timur,EJ
Gg. Barokah Marunda,NJ
Gg. Baru,EJ
Gg. Berdikari,SJ
Gg. Beringin,D
Gg. Beringin V RS Soekanto,EJ
Gg. Bhakti Lingkar Timur,EJ
Gg. Bidan Baru,EJ
Gg. Borobudur Ragunan,SJ
Gg. Bulak I Rorotan,NJ
Gg. Burung Dalam,WJ
Gg. CC Palmerah,WJ
Gg. Cengkeh Lubang Buaya,EJ
Gg. Damai,EJ
Gg. Damai I Rorotan,NJ
Gg. Damai Lingkar Timur,EJ
Gg. Damai Tanah Merah,NJ
Gg. Durian,SJ
Gg. Elang II Kebantenan,NJ
Gg. Elektro,NJ
Gg. Gading II Pisangan Timur,EJ
Gg. H Piran,EJ
Gg. H Satiri Manshur,WJ
Gg. H Sayuti I,EJ
Gg. H. Abdul Rohim Marunda,NJ
Gg. H. Abdullah Marunda,NJ
Gg. H. Ahmad Nado,SJ
Gg. H. Ali,SJ
Gg. H. Bunen 2,EJ
Gg. H. Doel Bojong Raya,WJ
Gg. H. Ganan,SJ
Gg. H. Kamil,EJ
Gg. H. Mesir,SJ
Gg. H. Mujeni Cililitan,EJ
Gg. H. Sanusi I Ulujami,SJ
Gg. H. Seman Susukan,EJ
Gg. H. Tohir,SJ
Gg. H. Yahya Balekambang,EJ
Gg. H. Yusuf Jati Pdang,SJ
Gg. Harapan I Jagakarsa,SJ
Gg. Iman Utara Cibubur,EJ
Gg. Kancil I Lenteng Agung,SJ
Gg. Kancil Marunda,NJ
Gg. Kelor,EJ
Gg. Kelor 2,EJ
Gg. Koperasi Ciracas,EJ
Gg. Kumis,EJ
Gg. Kunir II,WJ
Gg. L Utan Panjang Timur,CJ
Gg. Langga,EJ
Gg. Mantap Cibubur,EJ
Gg. Marang,WJ
Gg. Marlina,NJ
Gg. Mawar,EJ
Gg. Mawar Kb. Jeruk,WJ
Gg. Molen,EJ
Gg. Mulia Manggarai Selatan,SJ
Gg. Mundu II Tengah,EJ
Gg. Musholla Ragunan,SJ
Gg. Nangka Halim,EJ
Gg. Oxport Kebantenan VII,NJ
Gg. Oyot,EJ
Gg. P Pertamina Marunda,NJ
Gg. Padi Pelita Cipinang,EJ
Gg. Petamburan I KS Tubun,CJ
Gg. Pos Komodor Halim,EJ
Gg. Puskesmas Kebagusan Raya,SJ
Gg. Randu,EJ
Gg. Rorotan 8,EJ
Gg. Rukun Lingkar Timur,EJ
Gg. Rukun Lubang Buaya,EJ
Gg. Sabar 2 Lingkar Timur,EJ
Gg. Sadar Vb,EJ
Gg. Saminten,D
Gg. Samudera Casa Goya,WJ
Gg. Sawo 1,EJ
Gg. Sawo 2,EJ
Gg. Sawo Jagakarsa,SJ
Gg. Sawo Joglo,WJ
Gg. Service,EJ
Gg. Siluman Cililitan Besar,EJ
Gg. Souw Beng Kong,CJ
Gg. Subuh,EJ
