stops_name,location
PLTU Pluit,NJ
PMD,SJ
PMI,SJ
PMI DKI Jakarta,CJ
PPI,CJ
PPKD Jaktim,EJ
PTC Pulo Gadung,EJ
PTT,NJ
PTUN Jakarta,CJ
PU Irigasi,CJ
Pabrik Plastik Sawah Mede,WJ
Pacuan Kuda Pulo Mas 2,EJ
Pademangan,NJ
Pademangan 1,NJ
Pajak Dan Retribusi Cakung,EJ
Pajak Dan Retribusi Grogol Petamburan,WJ
Pakin,NJ
Pal Batu 2,SJ
Pal Batu 3,SJ
Pal Putih,CJ
Palem Semi 1,T
Palem Semi 2,T
Pam Jaya DKI,CJ
Pancoran 1,SJ
Pancoran Barat Arah Barat,SJ
Pancoran Barat Arah Timur,SJ
Pancoran Soepomo,SJ
Pancoran Tugu Arah Barat,SJ
Pancoran Tugu Arah Timur,SJ
Pangarengan,EJ
Pangeran Jayakarta,WJ
Pangeran Jayakarta 1,WJ
Pangeran Jayakarta 2,WJ
Pangkalan Jati,EJ
Pangkalan Jati 1,EJ
Pangkalan Jati 2,EJ
Pantai Maju,NJ
Panti Perwira,CJ
Panti Sosial Bina Laras,EJ
Panti Sosial Bina Laras 1,WJ
Pasar Baru,CJ
Pasar Baru Timur,CJ
Pasar Cempaka Putih,CJ
Pasar Enjo,EJ
Pasar Genjing,EJ
Pasar Induk Kramat Jati,EJ
Pasar Jatinegara,EJ
Pasar Kebayoran Lama,SJ
Pasar Kramat Jati,EJ
Pasar Minggu,SJ
Pasar Modern Harapan Indah,B
Pasar Pulo Gadung,EJ
Pasar Rumput,SJ
Patra Kuningan,SJ
Patra Kuningan 1,SJ
Pecenongan,CJ
Pecenongan 2,CJ
Pedati 2,EJ
Pedati Prumpung,EJ
Pedati Prumpung 1,EJ
Pedongkelan,NJ
Pegangsaan Timur,CJ
Pejambon,CJ
Pejaten,SJ
Pejaten 1,SJ
Pelabuhan Kali Adem,NJ
Pemadam Jagakarsa,SJ
Pemadam Pondok Kelapa Raya,EJ
Pemadam Pos Tebet,SJ
Pemadam Tj. Duren,WJ
Pemuda Pramuka,EJ
Pemuda Rawamangun,EJ
Penas Kalimalang,EJ
Penas Kalimalang 2,EJ
Pengadegan Barat III,SJ
Pengadegan Barat VI,SJ
Pengadegan Barat VII,SJ
Pengadegan Selatan III,SJ
Pengadilan Agama 1A Jaktim,EJ
Pengadilan Negeri Jaksel 2,SJ
Pengadilan Negeri Jaktim 1,EJ
Pengadilan Negeri Jaktim 2,EJ
Pengadilan Negeri Jakut,NJ
Pengayoman,T
Penggilingan,EJ
Penggilingan 1,EJ
Penggilingan 2,EJ
Penjaringan,NJ
Perdatam,SJ
Perempatan Cempaka Putih Barat XXVI,CJ
Perempatan Gandul,D
Perempatan Jln. Cempaka Putih Tengah XIII,CJ
Perguruan Advent VII Rawamangun,EJ
Perlintasan KA Rajawali,CJ
Perlintasan Kereta Api Kebayoran,SJ
Permai Koja 1,NJ
Permai Koja 2,NJ
Permai Koja Arah Selatan,NJ
Permai Koja Arah Utara,NJ
Permata Eksekutif 1,WJ
Permata Eksekutif 2,WJ
Permata Hijau,SJ
Permata Hijau 1,SJ
Permata Hijau RS Medika,WJ
Permata Hijau RS Medika 1,WJ
Permata Hijau RS Medika 2,WJ
Perpustakaan Dan Arsip Jakbar,WJ
Perpustakaan Nasional,CJ
Perpustakaan Riset BPK,CJ
Perpustakaan Umum Daerah,SJ
Persada Purnawira Halim,EJ
Persahabatan,EJ
Pertamina Bina Medika,SJ
Pertamina Kalideres Daan Mogot,WJ
Pertamina Kilang Minyak,NJ
Pertamina Marine III,NJ
Pertamina Term. Priok,NJ
Pertani,SJ
Pertigaan Al-Baidho,EJ
Pertigaan Cedang 1,EJ
Pertigaan Cedang 3,EJ
Pertigaan Ceger,EJ
Pertigaan Dewi Sartika,EJ
Pertigaan Duren Tiga Raya,SJ
Pertigaan H. Sadjim 3,EJ
Pertigaan Jengki Raya,EJ
Pertigaan Manunggal Al-Baidho,EJ
Pertigaan Pejaten Barat,SJ
Pertigaan Rukun Setu,EJ
Pertigaan Usman Harun,EJ
Perum Kedoya Garden,WJ
Perum Mutiara Indah Rorotan,EJ
Perum Rorotan Mas,NJ
Perum Taman Cipinang,EJ
Perum Taman Kota 2,WJ
Perum Tpi 1,EJ
Perum Tpi 2,EJ
Perum Villa Kelapa Dua,WJ
Perumahan Buddha Tzu Chi 1,NJ
Perumahan Buddha Tzu Chi 2,NJ
Perumahan EKS Yon Angkub,EJ
Perumahan Grand Malaka Rorotan,NJ
Perumahan KFT 1,WJ
Perumahan Mawar Joglo,WJ
Perumahan Meruya Indah,WJ
Perumahan Perwira Mabad,WJ
Perumahan Walikota Jakbar 1,WJ
Perumahan Walikota Jakbar 2,WJ
Perumnas Klender,EJ
Perumnas Klender 2,EJ
Pesakih,WJ
Pesakih 1,WJ
Pesakih 2,WJ
Pesing Polgar 1,WJ
Pesona Kalisari,EJ
Pesona Khayangan,D
Pesona Square,D
Petojo,CJ
Pharmin,CJ
Phe Tower Kebagusan,SJ
Pinang Ranti,EJ
Pintu 2 Jembatan Semanan Raya,WJ
Pintu 3 TMII,EJ
Pintu Air Gempol 1,EJ
Pintu Air Kalimati,NJ
Pintu Air Menteng,CJ
Pintu Barat Ragunan 1,SJ
Pintu Exit Term. Pulo Gebang,EJ
Pintu II TMII,EJ
Pintu Kawasan 1,EJ
Pintu Kawasan 2,EJ
Pintu Keluar Ps. Induk,EJ
Pintu Masuk PIK 2,EJ
Pintu Timur Ragunan,SJ
Pintu Tol Cijago,D
Pintu Tol Pondok Gede Selatan,EJ
Plaza Adorama,SJ
Plaza Blok M,SJ
Plaza Europa,T
Plaza Indonesia,CJ
Plaza Kalibata,SJ
Plaza Kemang 88,SJ
Plaza Oleos,SJ
Plaza Pp Condet 2,EJ
Plaza Senayan 1,CJ
Plaza Sentral,SJ
Plaza St. Manggarai,SJ
Pluit,NJ
Pluit 1,NJ
Pluit Karang Indah,NJ
Pluit Sakti,NJ
Plumpang Pertamina 1,NJ
Plumpang Pertamina Arah Selatan,NJ
Plumpang Pertamina Arah Utara,NJ
Plumpang Ps. Ular,NJ
Poins Square,SJ
Polda Metro Jaya,SJ
Polres Metro Jakpus,CJ
Polsek BSD,ST
Polsek Cengkareng 1,WJ
Polsek Ciputat 1,ST
Polsek Ciputat 2,ST
Polsek Koja,NJ
Polsek Makasar,EJ
Polsek Pademangan,NJ
Polsek Pasar Rebo,EJ
Polsek Penjaringan,NJ
Polsek Tanah Abang,CJ
Polsek Tj. Priok,NJ
Poltangan 1,SJ
Poltek Bunda Kandung,SJ
Pom Ad 1,SJ
Pom Bensin Ciputat,ST
Pom Bensin Mulyadi,B
Pomad 2,SJ
Pondok Gede Raya,EJ
Pondok Indah 1,SJ
Pondok Indah 2,SJ
Pondok Kelapa Indah,EJ
Pondok Kelapa Raya Kalimalang,EJ
Pondok Molek,EJ
Pondok Pinang,SJ
Ponpes Alhikmah Rorotan,NJ
Ponpes Baitul Quran Al Ikhwan 1,NJ
Ponpes Musyarrofah,SJ
Pool Blue Bird Cijantung,EJ
Pool Blue Bird Puri 2,WJ
Pool Express Tanah Kusir,SJ
Pool Hiba Utama 1,EJ
Pool Hiba Utama 2,EJ
Pool Mayasari Bakti,EJ
Pool PPD Ciputat,ST
Pool PPD Kec. Pulo Gadung,EJ
Pool Pangkalan Jati,EJ
Pool Taksi,EJ
Pool Taksi Tanah Kusir,SJ
Port Medical Center,NJ
Pos Bungur Batu Ampar IV,EJ
Pos Jaga Trikora 1,EJ
Pos Jaga Trikora 2,EJ
Pos Jaga Utama 1,EJ
Pos Jaga Utama 2,EJ
Pos Pengampuan,WJ
Pos Pengumben,WJ
Pos Polisi Satrio,SJ
Pos Rw 06 Pondok Bambu,EJ
Pospol Bendungan Hilir,CJ
Pospol Jati Bunder,CJ
Pospol Makasar,EJ
Pospol PIK Penggilingan,EJ
Pospol Pengumben,WJ
Pospol Pondok Kelapa,EJ
Pospol Taman Aries,WJ
Pospol Tomang 2,WJ
Potlot,SJ
Pramuka BPKP,EJ
Pramuka LIA,EJ
Pratama Abadi,ST
Premier Terrace,EJ
Ps. Asemka,WJ
Ps. BKT Rorotan IX,EJ
Ps. Bambu Kuning,NJ
Ps. Bebek Marunda 1,NJ
Ps. Bebek Marunda 2,NJ
Ps. Bintang Mas 1,WJ
Ps. Cakung 1,EJ
Ps. Cempaka Putih 1,CJ
Ps. Cibubur,EJ
Ps. Cipete,SJ
Ps. Cipinang Kebembem,EJ
Ps. Ciplak,EJ
Ps. Ciplak Cibesel,EJ
Ps. Ciputat,ST
Ps. Enjo 1,EJ
Ps. Enjo 2,EJ
Ps. Enjo Pisangan Lama,EJ
Ps. Gantung,WJ
Ps. Hek 1,EJ
Ps. Hek 2,EJ
Ps. Inpres Cipinang Besar,EJ
Ps. Inpres Kebayoran,SJ
Ps. Jabon Meruya,WJ
Ps. Jongkok,NJ
Ps. Kaget Pengadegan,SJ
Ps. Kam 1,EJ
Ps. Kam 2,EJ
Ps. Kebayoran Lama 1,SJ
Ps. Kemayoran,CJ
Ps. Kemiri 2,WJ
Ps. Keramik Panglima Polim,SJ
Ps. Klender,EJ
Ps. Kopro,WJ
Ps. Kopro 2,WJ
Ps. Kramat Jati 1,EJ
Ps. Kramat Jati 2,EJ
Ps. Malaka Rorotan,NJ
Ps. Mede,SJ
Ps. Mini Halim,EJ
Ps. Mitra,WJ
Ps. Muara Karang,NJ
Ps. Pademangan Timur 2,NJ
Ps. Pagi Kayu Putih Selatan,EJ
Ps. Palad,EJ
Ps. Palmerah,CJ
Ps. Palmerah 2,CJ
Ps. Pedok,SJ
Ps. Pejagalan,WJ
Ps. Pisang Rawa Buaya,WJ
Ps. Pondok Bambu 1,EJ
Ps. Pondok Gede,B
Ps. Pulo Gadung 1,EJ
Ps. Pulo Gadung 2,EJ
Ps. Pulo Gadung 3,EJ
Ps. Rawasari,CJ
Ps. Santa,SJ
Ps. Sayur Cipulir,SJ
Ps. Serdang 1,NJ
Ps. Sinar Lagoa 1,NJ
Ps. Sumur Batu 1,CJ
Ps. Sumur Batu 2,CJ
Ps. Timbul,WJ
Ps. Tomas,CJ
Ps. Ujung Menteng,EJ
Ps. Ular Plumpang,NJ
Pulo Gadung,EJ
Pulo Gadung 1,EJ
Pulo Gadung 2,EJ
Pulo Gadung 3,EJ
Pulo Gadung 4,EJ
Pulo Gadung 5,EJ
Pulo Gebang,EJ
Pulo Jaya,EJ
Pulo Kamboja,SJ
Pulo Mas,NJ
Pulo Mas 2,EJ
Pulo Mas Bypass,EJ
Pulo Mas Residence,EJ
Pulo Mas Ruko,EJ
Pure Dalam,NJ
Puri Agung,WJ
Puri Ardhya Garini,EJ
Puri Beta 1,T
Puri Beta 2,T
Puri Casablanca,SJ
Puri Imperium,SJ
Puri Kembangan,WJ
Puri Margasatwa,SJ
Puri Swadaya,EJ
Pusat Pelayanan Warga Summarecon,NJ
Pusat Pengelolaan Komplek Kemayoran,NJ
Pusat Promosi Ikan Hias,CJ
Pusdiklat Kemenag 1,ST
Pusdiklat Kemenag 2,ST
Pusdiklat Pajak Jln. Sakti IV,WJ
Pusdiklatnas 1,NJ
Pusdiklatnas 2,NJ
Pusenlis,WJ
Puskesmas Ancol,NJ
Puskesmas Balekambang,EJ
Puskesmas Batu Ampar,EJ
Puskesmas Cengkareng,WJ
Puskesmas Cilincing,NJ
Puskesmas Ciracas,EJ
Puskesmas Duren Sawit,EJ
Puskesmas Kebayoran Baru,SJ
Puskesmas Kel. Dukuh,EJ
Puskesmas Kel. Gunung,SJ
Puskesmas Kel. Kamal II,WJ
Puskesmas Kel. Papanggo,NJ
Puskesmas Kel. Warakas,NJ
Puskesmas Kelapa Gading,NJ
Puskesmas Kelurahan Pademangan Timur,NJ
Puskesmas Kota Bambu Selatan,WJ
Puskesmas Petojo Utara,CJ
Puskesmas Rawamangun,EJ
Puskesmas Setiabudi,SJ
Puskesmas Sunter Agung I,NJ
Puskesmas Tambora,WJ
RA Kartini,SJ
RPTRA Dukuh,EJ
RPTRA Kampung Pulo Asri,EJ
RPTRA Mutiara Rawabinong,EJ
RS Adhiyaksa,EJ
RS Asshobirin 1,ST
RS Bhakti Mulia,WJ
RS Budi Jaya,SJ
RS Carolus,CJ
RS Dharma Nugraha,EJ
RS Dr Mintohardjo,CJ
RS Dr Suyoto,SJ
RS Dr. Sulianti Saroso,NJ
RS Duren Sawit,EJ
RS Duren Sawit 1,EJ
RS Duren Sawit 2,EJ
RS Eka,ST
RS Fatmawati,SJ
RS Gading Pluit,NJ
RS Grand Family,NJ
RS Haji Jakarta,EJ
RS Harapan Bunda,EJ
RS Harapan Kita Arah Selatan,WJ
RS Harapan Kita Arah Utara,WJ
RS Harum,EJ
RS Hermina,EJ
RS Islam,CJ
RS Islam Pondok Kopi,EJ
RS Islam Pondok Kopi 2,EJ
RS Jantung Binawaluya,EJ
RS Mata Menteng,CJ
RS Medika Permata Hijau 3,SJ
RS Medika Permata Hijau 4,SJ
RS Mediros,EJ
RS Medistra,SJ
RS Mitra Kelapa Gading,NJ
RS Mitra Keluarga 1,B
RS Mitra Keluarga 2,B
RS Mitra Kemayoran,NJ
RS PIK 2,NJ
RS Pelabuhan Jakarta,NJ
RS Pluit,NJ
RS Polri Jaktim,EJ
RS Pusat Pertamina 1,SJ
RS Pusat Pertamina 2,SJ
RS Pusat Pertamina 3,SJ
RS Pusdikkes,EJ
RS Restu Kasih,EJ
RS Siloam,SJ
RS Sumber Waras,WJ
RS Sumber Waras 1,WJ
RS Sumber Waras 2,WJ
RS Tarakan,CJ
RS Tria Dipa,SJ
RS Zahirah,SJ
RSAU Dr Esnawan Antariska 2,EJ
RSIA Brawijaya Jln. H. Jian,SJ
RSIA Bunda 2,CJ
RSIA Duren Tiga 1,SJ
RSIA Duren Tiga 2,SJ
RSIA Kemang,SJ
RSJ Dr Soeharto Heerdjan,WJ
RSPAD,CJ
RSPAD 1,CJ
RSPAD 3,CJ
RSU Andhika,SJ
RSU Dr Euis,EJ
RSU Pekerja Sukapura,NJ
RSUD Boulevard Raya,WJ
RSUD Cengkareng,WJ
RSUD Cilincing,NJ
RSUD Ciracas,EJ
RSUD Koja,NJ
RSUD Koja 2,NJ
RSUD Pasar Minggu,SJ
RSUD Pasar Rebo 2,EJ
RSUD Pesanggrahan,SJ
RSUD Tj. Priok 2,NJ
RSUD Tugu Koja,NJ
RSUP Persahabatan,EJ
Ragunan,SJ
Ragunan 2,SJ
Rajiman 2,EJ
Ramayana Cengkareng,WJ
Ramayana KDW,EJ
Ramayana Semper,NJ
Ratu Prabu,SJ
Rawa Bambu,SJ
Rawa Barat,SJ
Rawa Barat 1,SJ
Rawa Buaya,WJ
Rawa Selatan,CJ
Rawa Sengon,NJ
Raya Bekasi Pulo Gebang 1,EJ
Raya Gading Bukit Indah,NJ
Raya Penggilingan,EJ
Raya Pulo Gebang Akses St. Cakung,EJ
Rengas,SJ
Rest Area Cibubur,EJ
Rest Area Km 13 Merak Jakarta,T
Rest Area TMII,EJ
Robinson,SJ
Roda Mas Baja Intan,CJ
Romantis PIK Penggilingan,EJ
Rorotan BKT,NJ
Roxy,CJ
Roxy Square 2,WJ
Rsu Pengayoman,EJ
Rukan Balai Pustaka,EJ
Rukan Radin Inten II,EJ
Rukan Teuku Umar,T
Ruko Cordoba 3,NJ
Ruko Enggano,NJ
Ruko Gading Bukit Indah,NJ
Ruko Gading Kirana,NJ
Ruko Gading Kirana 2,NJ
Ruko Gading Kirana 3,NJ
Ruko Kemanggisan Raya,WJ
Ruko Mall Mangga Dua,CJ
Ruko Mega Grosir Cempaka Mas,CJ
Ruko Meruya Ilir,WJ
Ruko Moh Kahfi II,SJ
Ruko Molek,EJ
Ruko Permata Senayan 1,SJ
Ruko Permata Senayan 2,SJ
Ruko Pondok Pinang Centre,SJ
Ruko Ps. Kebayoran Lama,SJ
Ruko Taman Cemara,B
Ruko Taman Duta Mas,WJ
Ruko Taman Kb. Jeruk,WJ
Rumah Sipitung,NJ
Rusun Benhil,CJ
Rusun Cakung Barat Albo,EJ
Rusun Cipinang Besar Selatan,EJ
Rusun Cipinang Muara,EJ
Rusun Flamboyan,WJ
Rusun Harum Tebet,SJ
Rusun Jati Rawasari,CJ
Rusun Jatinegara Kaum,EJ
Rusun Kapuk Muara,NJ
Rusun Karang Anyar,CJ
Rusun Karet Tengsin,CJ
Rusun Kemayoran,CJ
Rusun Klender,EJ
Rusun Komarudin,EJ
Rusun Marunda,NJ
Rusun Marunda 1,NJ
Rusun Marunda 2,NJ
Rusun Nagrak,NJ
Rusun Penjaringan,NJ
Rusun Pesakih,WJ
Rusun Pinus Elok Blok A,EJ
Rusun Pondok Bambu,EJ
Rusun Pulo Gebang,EJ
Rusun Rawa Bebek,EJ
Rusun Rempoa,SJ
Rusun Rorotan,NJ
Rusun Rorotan 2,NJ
Rusun Tambora,WJ
Rusun Tanah Abang 1,CJ
Rusun Tanah Abang 2,CJ
Rusun Tipar Cakung,EJ
Rusun Waduk Pluit,NJ
Rutan Salemba,CJ
S Parman Podomoro City Arah Barat,WJ
S Parman Podomoro City Arah Timur,WJ
SATLAK Johar Baru,CJ
SD 01 Taman Mpu Sendok,SJ
SD Angkasa 7,EJ
SD Diakonia 1,NJ
SD Diakonia 2,NJ
SD Jatinegara Kaum,EJ
SD Kartika X-4,SJ
SD Paskalis 1,CJ
SD Santa Maria Gambir,CJ
SDN 01 02 03,SJ
SDN 11 Batu Ampar,EJ
SDN Batu Ampar 02 03,EJ
SDN Cengkareng Barat 05,WJ
SDN Cengkareng Timur 05,WJ
SDN Cibubur 01,EJ
SDN Cibubur 03/04/06/07,EJ
SDN Cibubur 11,EJ
SDN Cilandak Timur 01,SJ
SDN Cipinang Besar Selatan,EJ
SDN Ciracas 01,EJ
SDN Ciracas 11/15,EJ
SDN Dukuh 01,EJ
SDN Dukuh 05,EJ
SDN Duren Sawit 02,EJ
SDN Grogol Utara 03,SJ
SDN Gunung Sahari 01,CJ
SDN Jagakarsa 01,SJ
SDN Jagakarsa 05,SJ
SDN Jati 07,EJ
SDN Jelambar Baru 01,WJ
SDN Johar Baru 10,CJ
SDN Kalisari 01,EJ
SDN Kelapa Dua 01,WJ
SDN Kelapa Dua Wetan 01,EJ
SDN Kota Bambu 03,WJ
SDN Lagoa,NJ
SDN Lebak Bulus 01,SJ
SDN Lebak Bulus 02,SJ
SDN Lebak Bulus 04,SJ
SDN Lubang Buaya 11,EJ
SDN Malakasari 13 15,EJ
SDN Marunda 01,NJ
SDN Meruya Utara 02 Pagi,WJ
SDN Pademangan Barat 07,NJ
SDN Pademangan Timur 05 07,NJ
SDN Palmerah 07,CJ
SDN Palmerah 09,WJ
SDN Pegangsaan Dua 07,NJ
SDN Penggilingan,EJ
SDN Penjaringan,NJ
SDN Penjaringan 3,NJ
SDN Pesanggrahan 10,SJ
SDN Pesanggrahan 10 Pagi,SJ
SDN Pisangan Timur 05/07,EJ
SDN Pisangan Timur 10,EJ
SDN Pondok Jagung 1,ST
SDN Pondok Kelapa 05,EJ
SDN Pondok Labu 11,SJ
SDN Ragunan 14,SJ
SDN Rawa Terate,EJ
SDN Rawamangun 05,EJ
SDN Rorotan 03,NJ
SDN Rorotan 07,NJ
SDN Srengseng Sawah 01,SJ
SDN Sukabumi Utara 04,WJ
SDN Sukasari Enam 2,T
SDN Sunter Agung 09,NJ
SDN Tanah Tinggi,CJ
SDN Tj. Duren Utara 06 07,WJ
SDN Utan Kayu Selatan 23 Pagi,EJ
SKKT Pondok Bambu,EJ
SLB Pangudi Luhur,WJ
SMA 40,NJ
SMA Advent XV Ciracas,EJ
SMA Angkasa 1,EJ
SMA Angkasa 2,EJ
SMA Cengkareng 1,WJ
SMA Islam As Syafiiyah 01,SJ
SMA Kartika,SJ
SMAK Penabur Enam 1,NJ
SMAK Penabur Enam 2,NJ
SMAN 10,CJ
SMAN 10 Bekasi,B
SMAN 100,EJ
SMAN 109,SJ
SMAN 113,EJ
SMAN 24,CJ
SMAN 28,SJ
SMAN 38,SJ
SMAN 41,NJ
SMAN 55,SJ
SMAN 65,WJ
SMAN 75,NJ
SMAN 8,SJ
SMAN 85,WJ
SMK 57,SJ
SMK Averus Pondok Pinang,SJ
SMK Bina Darma DKI,EJ
SMK Darussalam,ST
SMK Hatawana,EJ
SMK Karya Teladan,SJ
SMK Nurul Huda,EJ
SMK Ristek Kikin,EJ
SMK Satria Srengseng,WJ
SMK Tj. Priok 2,NJ
SMK Tunas Markatin,EJ
SMKN 12,NJ
SMKN 22,EJ
SMKN 28,SJ
SMKN 33,EJ
SMKN 38,CJ
SMKN 4,NJ
SMKN 42,WJ
SMKN 48,EJ
SMKN 49,NJ
SMKN 50,EJ
SMKN 54,CJ
SMKN 56,NJ
SMKN 60,WJ
SMKN 63,SJ
SMKN 7,EJ
SMKN Jasalena Marunda,NJ
SMP 140,NJ
SMP Islam Al Azhar 19,EJ
SMP Muhammadiyah 2,CJ
SMP PGRI 9,EJ
SMP PSKD 3,EJ
SMP Tarakanita 5,SJ
SMPN 106,EJ
SMPN 124,SJ
SMPN 127,WJ
SMPN 14,EJ
SMPN 143,NJ
SMPN 188,EJ
SMPN 190,WJ
SMPN 199,EJ
SMPN 214,EJ
SMPN 235,SJ
SMPN 245,SJ
SMPN 252,EJ
SMPN 258,EJ
SMPN 263,EJ
SMPN 43,SJ
SMPN 6 Bekasi,B
SMPN 68,SJ
SMPN 78,CJ
SMPN 8,CJ
SMPN 85,SJ
SMU 79,SJ
SMU Balai Rakyat,SJ
SPBG Jakpro,NJ
SPBU Bintaro Pondok Betung,SJ
SPBU Gedong Panjang,NJ
SPBU Industri Kemayoran,CJ
SPBU Jagakarsa,SJ
SPBU Jln. DI Panjaitan,EJ
SPBU Jln. Guru,SJ
SPBU Limo Cinere,D
SPBU Limo Cinere 1,D
SPBU M Kahfi 1,SJ
SPBU Meruya Ilir,WJ
SPBU Pinang Ranti 2,EJ
SPBU Shell Rempoa,SJ
SPBU Tugu Selatan,NJ
SPBU Yos Sudarso,NJ
STAI Az Ziyadah 2,EJ
STEKPI,SJ
STIAMI 2,D
STIE IBEK,WJ
STIE Trianandra,EJ
STIP,NJ
STIP 2,NJ
STIS,EJ
STMT Trisakti 1,EJ
STMT Trisakti 2,EJ
STPDN,SJ
STT PLN,WJ
Saadatudarain,SJ
Sadar Raya Ciganjur 2,SJ
Sahid Sudirman Center,CJ
Sakura Garden City,EJ
Salemba Carolus,CJ
Salemba UI,CJ
Sampoerna Strategic,SJ
Santa Maria,EJ
Santo Lukas,SJ
Sari Pan Pacific,CJ
Satrio 6,SJ
Sawah Besar Arah Selatan,WJ
Sawah Besar Arah Utara,WJ
Sawo Kecik Raya,SJ
Sbr. Agrowisata Cilangkap,EJ
Sbr. Airy Eco Binus,WJ
Sbr. Akademi Farmasi Mahadhika,EJ
Sbr. Akper Fatmawati Pondok Labu,SJ
Sbr. Akses Jembatan Ciliwung Balekambang,EJ
Sbr. Apartemen Gading Nias,NJ
Sbr. BBPK Jakarta,SJ
Sbr. BPJS Jaksel,SJ
Sbr. BPK Penabur Kelapa Gading,NJ
Sbr. BPPK Jakarta,CJ
Sbr. Balai Rakyat,EJ
Sbr. Barito Park,SJ
Sbr. Baywalk 2,NJ
Sbr. Bercabuana Sakti,SJ
Sbr. Binus Syahdan,WJ
Sbr. Bukit Cinere Indah,D
Sbr. Bumi Gotong Royong,EJ
Sbr. Cek & Ricek,WJ
Sbr. Cilandak KKO,SJ
Sbr. Cilincing Baru Raya,NJ
Sbr. Cipinang Jagal,EJ
Sbr. Cipinang Lontar,EJ
Sbr. Dinas Kesehatan DKI Jakarta,CJ
Sbr. Dirjen Anggaran,EJ
Sbr. Embun Pagi Islamic School,EJ
Sbr. Fedex Pondok Pinang,SJ
Sbr. GOR Pondok Bambu,EJ
Sbr. Gedung Pompa Cideng Siantar,CJ
Sbr. Gelanggang Remaja Tj. Priok,NJ
Sbr. Gereja HKBP Cipete,SJ
Sbr. Gereja Kristen Jawa,EJ
Sbr. Gereja Oikumene,EJ
Sbr. Gereja Santa Maria Imakulata,WJ
Sbr. Gereja Sumber Kasih,SJ
Sbr. Gg. Ahmad Squadron,EJ
Sbr. Gg. Asmat Petukangan,SJ
Sbr. Gg. Borobudur Ragunan,SJ
Sbr. Gg. Bulak I Rorotan,NJ
Sbr. Gg. Cermai,SJ
Sbr. Gg. Damai Lingkar Timur 2,EJ
Sbr. Gg. Elektro,NJ
Sbr. Gg. H Ahmad Nado,SJ
Sbr. Gg. H. Abdullah Marunda,NJ
Sbr. Gg. H. Anim Semanan,WJ
Sbr. Gg. H. Emur Pondok Labu,SJ
Sbr. Gg. H. Loong Tengah,EJ
Sbr. Gg. H. Mesir,SJ
Sbr. Gg. H. Saibun Jati Padang,SJ
Sbr. Gg. H. Sayuti I,EJ
Sbr. Gg. H. Yusuf Jati Padang,SJ
Sbr. Gg. I Jln. Cipeucang V,NJ
Sbr. Gg. Kancil Marunda,NJ
Sbr. Gg. Langgar Kelapa Dua,WJ
Sbr. Gg. Mantap Cibubur,EJ
Sbr. Gg. Marlina,NJ
Sbr. Gg. Masjid Al Istiqomah Tengah,EJ
Sbr. Gg. Mundu II Tengah,EJ
Sbr. Gg. Mushola Baburrahman,CJ
Sbr. Gg. Nusa Indah Ciracas,EJ
Sbr. Gg. Oxport Kebantenan,NJ
Sbr. Gg. Padi Pelita Cipinang,EJ
Sbr. Gg. Pos Komodor,EJ
Sbr. Gg. Puas Cibubur,EJ
Sbr. Gg. Puskesmas Kebagusan Raya,SJ
Sbr. Gg. Rawa Gurih,EJ
Sbr. Gg. Rezeki Cijantung,EJ
Sbr. Gg. Robaya,SJ
Sbr. Gg. Sabar 2 Lingkar Timur,EJ
Sbr. Gg. Saminten,D
Sbr. Gg. Saorma Kalisari,EJ
Sbr. Gg. Swadaya Pagelarang,EJ
Sbr. Gg. Trijaya IV Timur,SJ
Sbr. Gg. VIII Muara Baru,NJ
Sbr. Gg. Wali Pertama Cijantung,EJ
Sbr. Gg. Warga Lubang Buaya,EJ
Sbr. Gg. Waru,EJ
Sbr. Gg. Yasto Cipete,SJ
Sbr. Goethe Institute,CJ
Sbr. Golden Fatmawati,SJ
Sbr. Graha Delta Tengah,EJ
Sbr. Graha Dirgantara,EJ
Sbr. Green Puri,WJ
Sbr. Grha Intirub,EJ
Sbr. Griya Harapan Permai,B
Sbr. H. Samali,SJ
Sbr. HKBP Petukangan,SJ
Sbr. Hotel Mulia,SJ
Sbr. ITC Fatmawati,SJ
Sbr. Institut Teknologi Budi Utomo,EJ
Sbr. Jakarta Taipei School,NJ
Sbr. Jembatan Item,NJ
Sbr. Jembatan Pintu Satu,EJ
Sbr. Jembatan Sukamulya III,CJ
Sbr. Jl H Emuntipala I,EJ
Sbr. Jln. Al Hidayah Basmol,WJ
Sbr. Jln. Albarkah I Cilandak,SJ
Sbr. Jln. Ancol III,NJ
Sbr. Jln. Ancol Selatan,NJ
Sbr. Jln. Anggrek Raya,EJ
Sbr. Jln. Angkasa 1,EJ
Sbr. Jln. Angsana Kemanggisan,WJ
Sbr. Jln. B,NJ
Sbr. Jln. B Basmol Raya,WJ
Sbr. Jln. Bak Air 1,NJ
Sbr. Jln. Barito II,SJ
Sbr. Jln. Bendungan Hilir Gg. IV,CJ
Sbr. Jln. Beo,SJ
Sbr. Jln. Bhakti VII Palmerah,WJ
Sbr. Jln. Buaran I,EJ
Sbr. Jln. Bumi Pratama III,EJ
Sbr. Jln. Bumi Sutera Cibubur,EJ
Sbr. Jln. Bungur IV Rambutan,EJ
Sbr. Jln. Bungur VIII Rambutan,EJ
Sbr. Jln. Busika Raya Ciracas,EJ
Sbr. Jln. Cakrawala,EJ
